저작물명,앨범명,아티스트명,대리중개사명,제작사명
사랑이 맞을거야,사랑이 맞을거야,윤미래 (T),카카오 M,Feel Ghood Music
유레카 (Feat. Zion.T),GALLERY,지코 (ZICO),Stone Music Entertainment,세븐시즌스
네게 줄 수 있는건 오직 사랑뿐,응답하라 1988 OST Part 5,디셈버 (December),Stone Music Entertainment,"Stone Music Entertainment, 쿵엔터테인먼트"
Everglow,A Head Full Of Dreams,Coldplay,Warner Music,Parlophone UK
DADDY (Feat. CL of 2NE1),칠집싸이다,싸이 (Psy),지니뮤직,YG Entertainment
나팔바지,칠집싸이다,싸이 (Psy),지니뮤직,YG Entertainment
우주를 건너,FRANK,백예린,Dreamus,JYP Entertainment
혜화동 (혹은 쌍문동),응답하라 1988 OST Part 4,박보람,Stone Music Entertainment,"Stone Music Entertainment, 쿵엔터테인먼트"
소녀,응답하라 1988 OST Part 3,오혁,Stone Music Entertainment,"Stone Music Entertainment, 쿵엔터테인먼트"
When We Were Young,25,Adele,강앤뮤직,XL Recordings
못먹는 감 (Sour Grapes),못먹는 감,"산이(San E), 매드 클라운(Mad Clown)",카카오 M,"스타쉽엔터테인먼트, 브랜뉴뮤직"
HOT PINK,HOT PINK,EXID,Sony Music,예당엔터테인먼트
Boys And Girls (Feat. Babylon),Boys And Girls,지코 (ZICO),Stone Music Entertainment,세븐시즌스
청춘 (Feat. 김창완),응답하라 1988 OST Part 1,김필,Stone Music Entertainment,"Stone Music Entertainment, 쿵엔터테인먼트"
4 Walls,4 Walls - The 4th Album,f(x),지니뮤직,SM Entertainment
냉탕에 상어 (Feat. 블랙넛),냉탕에 상어,슈퍼비,카카오 M,슈퍼뮤직
Sorry,Sorry,Justin Bieber,Universal Music,"Def Jam Recordings, a division of UMG Recordings, Inc"
Hello,Hello,Adele,강앤뮤직,XL Recordings
스물셋,CHAT-SHIRE,아이유 (IU),카카오 M,로엔트리
무릎,CHAT-SHIRE,아이유 (IU),카카오 M,로엔트리
푸르던,CHAT-SHIRE,아이유 (IU),카카오 M,로엔트리
OOH-AHH하게,THE STORY BEGINS,TWICE,Dreamus,JYP Entertainment
모르나봐,그녀는 예뻤다 OST Part.4,"소유, 브라더수",카카오 M,본팩토리월드와이드
No Make Up,No Make Up,자이언티(Zion.T),카카오 M,아메바컬쳐
I (Feat. 버벌진트),I - The 1st Mini Album,태연 (TAEYEON),Dreamus,SM Entertainment
Ah-Choo,Lovelyz8,러블리즈,카카오 M,에스엠컬처앤콘텐츠레이블울림
리듬 타 (RHYTHM TA),WELCOME BACK,iKON,지니뮤직,YG Entertainment
가끔,그녀는 예뻤다 OST Part 2,지아 (Zia),카카오 M,본팩토리월드와이드
또 다시 사랑,또 다시 사랑,임창정,Stone Music Entertainment,NH EMG
어깨,어깨,"소유, 권정열",카카오 M,스타쉽 엑스
바람이나 좀 쐐 (Feat. MIWOO),2002,Gary (개리),카카오 M,리쌍컴퍼니
보통연애 (Feat. 박보람),보통연애,박경,Stone Music Entertainment,세븐시즌스
하루의 끝 (End of a day),종현 소품집 `이야기 Op.1`,종현 (JONGHYUN),Dreamus,SM Entertainment
취향저격,WELCOME BACK,iKON,YG PLUS,YG PLUS
Dumb Dumb,The Red - The 1st Album,레드벨벳(Red Velvet),Dreamus,SM Entertainment
FOOLS,WILD,Troye Sivan,Universal Music,Universal Music
Okey Dokey,쇼미더머니 4 Episode 6,"송민호, 지코(ZICO)",Stone Music Entertainment,Stone Music Entertainment
What Do You Mean?,What Do You Mean?,Justin Bieber,Universal Music,"Def Jam Recordings, a division of UMG Recordings, Inc"
One Call Away,Nine Track Mind (Deluxe),Charlie Puth,Warner Music,Artist Partners
겁 (Feat. 태양),쇼미더머니 4 Episode 5,송민호,Stone Music Entertainment,Stone Music Entertainment
레옹,무한도전 영동고속도로 가요제,"이유 갓지(GOD G)않은이유(박명수, 아이유)",NHN벅스,MBC
맙소사,무한도전 영동고속도로 가요제,"황태지(황광희, 태양, 지드래곤)",NHN벅스,MBC
스폰서 ($ponsor),무한도전 영동고속도로 가요제,"으뜨거따시(하하, 자이언티)",NHN벅스,MBC
멋진헛간,무한도전 영동고속도로 가요제,"오대천왕(정형돈, 밴드 혁오)",NHN벅스,MBC
I`m So Sexy,무한도전 영동고속도로 가요제,"댄싱게놈(유재석, JYP)",NHN벅스,MBC
가슴 뛰도록,THE VOICE,SG워너비,Stone Music Entertainment,"B2M 엔터테인먼트, Stone Music Entertainment"
Lion Heart,Lion Heart - The 5th Album,소녀시대,지니뮤직,SM Entertainment
오빠차,쇼미더머니 4 Episode 4,"인크레더블, 타블로, 지누션",Stone Music Entertainment,Stone Music Entertainment
사이먼 도미닉,사이먼 도미닉,사이먼 도미닉 (Simon Dominic),카카오 M,AOMG
우리 사랑하지 말아요,E,빅뱅,지니뮤직,YG Entertainment
쩔어 (GD&T.O.P),E,빅뱅,지니뮤직,YG Entertainment
I Feel You,REBOOT,원더걸스 (Wonder Girls),지니뮤직,JYP Entertainment
거북선 (Feat. 팔로알토),쇼미더머니 4 Episode 2,"자메즈 (Ja Mezz), 앤덥(Andup), 송민호",Stone Music Entertainment,Stone Music Entertainment
I`m Not Sorry (Feat. Eric Bellinger),I`m Not Sorry,DEAN,Universal Music,Joombas Co Ltd & Universal Music
오늘부터 우리는 (Me gustas tu),2nd Mini Album `Flower Bud`,여자친구 (GFRIEND),지니뮤직,쏘스뮤직
New Thang,New Thang,Redfoo (LMFAO),Warner Music,Party Rock Records
Remember,Pink MEMORY,에이핑크 (Apink),카카오 M,플레이엠엔터테인먼트
Oasis (Feat. ZICO),Oasis,크러쉬 (CRUSH),카카오 M,아메바컬쳐
PARTY,PARTY,소녀시대,지니뮤직,SM Entertainment
링마벨 (Ring My Bell),Girl`s Day Love Second Album,걸스데이 (Girl`s Day),카카오 M,드림티 엔터테인먼트
사랑할수록 (화생방실 클레오파트라),복면가왕 14회,화생방실 클레오파트라,NHN벅스,MBC
IF YOU,D,빅뱅,YG PLUS,YG PLUS
맨정신,D,빅뱅,지니뮤직,YG Entertainment
심쿵해 (Heart Attack),Heart Attack,AOA,Stone Music Entertainment,FNC엔터테인먼트
SHAKE IT,SHAKE IT,씨스타 (Sistar),카카오 M,스타쉽엔터테인먼트
음오아예 (Um Oh Ah Yeh),Pink Funky,마마무 (Mamamoo),Stone Music Entertainment,"RBW, Stone Music Entertainment"
아프다,가면 OST Part 2,"지코 (ZICO), 소진",카카오 M,더블킥엔터테인먼트
LOVE ME RIGHT,LOVE ME RIGHT - The 2nd Album Repackage,EXO,지니뮤직,SM Entertainment
뱅뱅뱅 (BANG BANG BANG),A,빅뱅,YG PLUS,YG PLUS
WE LIKE 2 PARTY,A,빅뱅,지니뮤직,YG Entertainment
와리가리,22,혁오 (hyukoh),카카오 M,두루두루AMC
사랑의 시작은 고백에서부터,프로듀사 OST,김범수,Sony Music,ROY 엔터테인먼트
몸매 (MOMMAE) (Feat. Ugly Duck),몸매 (MOMMAE),박재범,Stone Music Entertainment,AOMG
이럴거면 그러지말지 (Feat. 영현),이럴거면 그러지말지,백아연,Dreamus,JYP Entertainment
꺼내 먹어요,Eat,자이언티(Zion.T),카카오 M,아메바컬쳐
마음,마음,아이유 (IU),카카오 M,로엔트리
View,Odd - The 4th Album,샤이니 (SHINee),지니뮤직,SM Entertainment
Madeleine Love,CHEEZE 1.5집 PLAIN,CHEEZE,Stone Music Entertainment,"인넥스트트렌드, MUSIC LAMP"
Flashlight,Pitch Perfect 2 (영화 `피치 퍼펙트 2` OST),Jessie J,Universal Music,Universal Music
LOSER,M,빅뱅,지니뮤직,YG Entertainment
BAE BAE,M,빅뱅,지니뮤직,YG Entertainment
I NEED U,화양연화 pt.1,방탄소년단,Dreamus,빅히트 엔터테인먼트
그 남잔 말야,냄새를 보는 소녀 OST Part 5,엠씨 더 맥스(M.C the Max),카카오 M,도너츠뮤직
Me You (Feat. 백예린 of 15&),양치기 소년,산이 (San E),카카오 M,브랜뉴뮤직
